Movie Title,Year,Genre,Gross,Production Budget,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Destination 2,2003,Horror,46961214,26000000,-0.006589703846154,-0.2368021,-0.03957285,1.662806,0.4138666,0.04025051,0.5561182,-0.039038,0.06389623,0.008826717,0.5756972,0.4557693,-0.356607,0.3373855,0.3778743,0.3691272,0.334618,0.2782473,0.07667239,-0.3744419,0.6047335,0.01518205,-0.2887794,0.2061512,-0.504634,-0.1739282,0.03051925,0.4596126,0.2339743,0.8164109,-0.2020411,0.577387,-0.5448938,0.08487841,0.2869211,-0.2611942,0.965692,-0.8927723,0.6188699,-0.6971181,0.3524833,-0.6174625,0.7553749,-0.5596863,0.3425561
Game 6,2006,Comedy,129664,1000000,-0.9286848,-0.1152603,0.02323431,0.1135746,0.3417323,0.02053147,-0.3953226,0.671847,-0.08377968,0.3443488,-1.439116,3.20115,-0.4804089,0.778066,-0.04801761,0.2113468,-0.01428493,-0.1349827,-0.313129,-0.2808045,-0.2039833,-0.2118103,-0.1020027,0.0111908,-0.1521389,-0.1919016,0.2977165,0.3576454,0.4192623,-0.2907291,1.647748,0.2447063,0.2253746,-0.5357199,1.998905,-0.5698313,0.9659793,0.01296081,2.492063,-0.348418,0.5146672,-0.6271763,0.1729774,-0.3360231,1.309376
Gattaca,1997,Drama,12532777,36000000,-0.808527018055556,0.1257276,-0.5173679,-1.649009,0.6948136,-1.569305,0.3192153,-0.1791693,-0.5470516,-0.4437938,-0.2982427,-0.4539544,-0.1857927,-1.101123,0.2155073,-0.5233737,-0.2787168,-0.2102109,-0.6030423,-0.08023556,-0.3445923,-0.1714528,-0.4322489,-0.4517267,-0.6470524,0.2604328,-0.4041572,0.0702234,0.02702445,0.02597377,-0.2507723,0.2550918,0.4325127,-0.2228945,-0.4196769,0.4437111,-0.2426052,-0.04995209,-0.09712759,0.2734416,-0.1635013,-0.5548974,-0.07028501,-1.27565,-0.1948152
Gladiator,2000,Action,187705427,103000000,0.002310532524272,-0.005681761,0.8334819,-0.08653882,0.6696701,-1.140556,-1.783545,-0.7057975,0.3326191,-0.2308835,-0.06375597,0.03032326,0.03374174,0.09621073,0.3606186,-0.08112771,1.948133,1.059272,2.186911,-0.09528097,1.270579,1.566078,0.7165788,0.1833469,-0.54523,-0.007522977,-0.4169084,0.0255321,-0.49171,0.04742093,-0.4627169,0.3495761,-0.2941752,-0.2475799,-0.2300571,-0.1594235,-0.5036177,0.3563968,-0.3495897,0.3805161,-0.1250442,0.2577253,-0.6266203,0.5727114,-0.7025323
Gone in 60 Seconds,2000,Action,101643008,103300000,-0.45882231945789,-0.2234171,0.3611952,0.8813851,-0.08964023,0.7806434,0.5180411,0.1737896,0.7093132,-0.04795805,0.4580562,-0.1526383,1.028155,-0.7965946,0.9131439,-0.3795314,0.5910245,0.2258145,0.4402512,-0.884253,-0.009447561,-0.1476169,-0.3181826,1.90968,-3.49967,1.607918,-0.4059814,0.4697896,0.02280851,0.3571441,0.3524311,0.1739599,-0.06895171,0.3026807,0.5964265,0.2020334,0.1331784,-0.32007,0.6501196,-0.7756223,0.1919143,-0.7548504,0.4602289,-0.1658406,0.8851378
Groundhog Day,1993,Comedy,70906973,14600000,1.67115309246575,-0.00709724,-0.05828469,0.0655955,0.4393298,-0.1124906,0.448356,-0.9138205,0.05577022,0.1545149,0.3227042,-0.9764292,0.4623514,-2.675155,0.9240614,-0.6759507,0.145246,0.7403745,-0.5750879,0.486902,-0.7914076,0.3663596,0.0935064,0.02801588,0.02527015,0.08532289,-0.03606174,0.06821481,0.2669877,0.2193539,0.4464256,0.1247605,0.4002028,-0.2859557,0.2372198,-0.006122982,0.1544355,-0.6067979,0.2634601,-0.443545,0.5428709,0.1629423,-0.1692493,0.9400831,-2.266445
"Grudge, The",2004,Horror,110359362,10000000,5.06976491,-0.201084,-0.0229927,-0.1399747,0.4027168,0.09266994,-0.09755382,0.2540339,0.07807624,-0.08795049,0.2725758,0.06463278,0.3691953,0.02680102,0.3128605,0.1582231,0.4176004,0.192086,0.9145341,0.125691,0.3034119,0.4543952,0.1558704,0.1849222,0.4300964,0.5506894,0.4476313,0.8576968,0.7163552,1.34994,0.08617959,0.3967519,0.3827436,0.1105429,1.406083,-1.126463,1.491057,-0.3125976,-0.4346838,0.2601046,0.1174082,0.488078,-0.5597993,0.2516013,-0.05625672
Harold and Kumar Go To Whitecastle,2004,Comedy,18250550,9000000,0.115311388888889,0.08617275,0.08061934,-0.02861336,0.002629219,0.04226769,-0.3071028,0.1612186,-0.2314536,0.4416499,-0.8599387,1.489111,0.2313197,-3.279613,1.879327,-0.6744132,0.2152034,-0.7409794,0.1331112,-0.1704307,0.1246945,-0.3420668,0.5001268,-0.6607052,0.3701333,0.3318599,-0.2160341,0.06665642,0.4225403,0.6355895,0.4341134,-1.24258,3.524395,-2.134959,0.6407304,-0.7343659,0.1999794,0.1967289,0.335991,-0.1972798,-0.2238991,0.2408062,-0.1207541,0.04021396,0.3977625
Hellboy,2004,Action,59623958,60000000,-0.453447051666667,0.02279817,-0.2185462,-0.0495926,-0.4884291,-0.1523476,-0.5588054,-0.160397,0.09590123,-0.8284576,0.06105476,-0.1252723,0.4416407,-0.02235863,0.2307771,-0.03879817,0.5822279,0.277585,0.4135622,0.07037898,-1.112415,1.271197,-2.623579,0.9693973,-0.5174232,0.4471528,-0.1517418,0.5031162,-0.2900885,1.351447,-1.267411,-0.277468,0.6307411,-0.06475867,-0.1255987,0.2000145,-0.3725041,0.2177529,-0.02169416,0.2326976,0.04973727,0.2525491,-0.172098,0.3449197,-0.1437835
Horse Whisperer,1998,Drama,75383563,60000000,-0.308984005833333,0.1480742,-0.5603842,0.4511352,-1.390427,1.855519,-0.709411,0.7929008,-1.116304,0.4299203,-0.6371468,-0.3196605,-0.70555,0.1062246,-0.654852,-0.6948616,0.833913,-0.5665855,0.7745208,-0.4229554,0.1234673,-0.4628376,0.1372678,0.09238443,-0.3324422,0.08089553,0.0680066,-0.5790201,-0.3539137,0.08676374,-0.7522403,0.905443,1.358012,-0.06434405,0.7017366,-0.2406693,0.5158486,0.2602544,-0.4983407,3.080972,0.2630368,-0.3205058,0.460233,0.2444533,1.144235
